TotalComp,WideIndustry,Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,Ugdate,Age ofUnder,Graduate,GradDegree,MBA,MasterPHd,G_date,AgeofGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,,
5354910,Aerospacedefense,Rockwell Internation,Mr. Donald R Beall,Beaumont,CA,55,San Jose State,BS,60,21,U of Pittsburgh,MBA,1,1,61,22,26,6,815000,900000,3639910,,15142300,0.181,10952,583.6,16,Aerospacedefense,11,815
2440490,Aerospacedefense,United Technologies,Mr. GeorgeDavid,Bryn Mawr,PA,52,Harvard,BA,65,23,U of Virginia,MBA,1,1,67,25,19,1,770833,600000,905529,164124,,0.054,20736,487,10,Aerospacedefense,11,770.833
9544050,Aerospacedefense,AlliedSignal,Mr. Lawrence A Bossidy,Pittsfield,MA,59,Colgate U,BA,57,22,,none,0,0,,,3,3,1100000,1.50E+06,4128400,2.82E+06,20743300,0.063,11827,656,22,Aerospacedefense,11,1100
33689900,Aerospacedefense,Loral,Mr. Bernard L Schwartz,New York,NY,68,CUNY City,BBA,48,22,,none,0,0,,,22,22,859000,3.53E+06,3316240,2.60E+07,64753300,1.728,3562,201.4,20,Aerospacedefense,11,859
4784830,Aerospacedefense,Raytheon,Mr. Dennis J Picard,Providence,RI,61,Northeastern U,BSE,62,29,,none,0,0,,,39,3,870762,870000,2109560,934514,10653100,0.144,9201,693,17,Aerospacedefense,11,870.762
1368450,Aerospacedefense,Sundstrand,Mr. Harry C Stonecipher,Scott County,TN,58,Tennessee Tech,BS,60,24,,none,0,0,,,7,5,650000,186875,531579,,5360480,0.609,1383,145.7,13,Aerospacedefense,11,650
,Aerospacedefense,Litton Industries,Mr. John M Leonis,Whittier,CA,60,U of Arizona,BSE,59,25,,none,0,0,,,34,1,,¥,,,,0.00001,3492,-21.2,14,Aerospacedefense,11,
1924660,Aerospacedefense,E-Systems,Mr. A LowellLawson,Macon,GA,56,U of Georgia,BS,60,22,,none,0,0,,,30,1,425017,345000,367150,787495,,0.118,2097,121.9,12,Aerospacedefense,11,425.017
796635,Aerospacedefense,Grumman,Dr. Renso L Caporali,Batavia,NY,61,ClarksonU,BCE,54,21,Princeton,PhD,0,1,64,31,35,4,450000,310000,36635,,1880140,0.122,3225,58.8,30,Aerospacedefense,11,450
1131800,Business,Browning-Ferris Indu,Mr. William D Ruckelshaus,Indianapolis,IN,61,Princeton,BA,57,24,Harvard,LLB,0,1,60,27,7,6,828000,297500,6304,,4988490,0.015,3581,204.1,-1,Business-environmentalwaste,10,828
1012540,Business,Thermo Electron,Dr. George N Hatsopoulos,Greece,,67,MIT,BS,49,22,MIT,PhD,0,1,56,29,38,38,417000,450000,10118,135420,9870720,2.007,1250,76.6,23,Business-environmentalwaste,10,417
1486110,Business,WMX Technologies,Mr. Dean L Buntrock,Columbia,SD,62,St Olaf C,BA,55,23,,none,0,0,,,38,26,1400000,,83919,2188,22445800,0.577,9136,452.8,2,Business-environmentalwaste,10,1400
715623,Business,Harsco,Mr. Derek C Hathaway,England,NC,50,,,,,,none,0,0,,,28,1,270834,148282,160469,136038,,0.088,1422,80.8,17,Business-industrial services,10,270.834
474091,Business,First Data,Mr. Henry C Duques,Washington,DC,50,George Washingt,BS,65,21,George Washingt,MBA,1,1,69,25,7,5,413061,,61030,,3435230,0.00001,1490,173,35,Business-services,13,413.061
1117850,Business,Equifax,Mr. C B Rogers Jr,New York,NY,64,Gettysburg C,BA,51,21,George Washingt,MBA,1,1,62,32,7,5,496184,,621670,,5342210,0.451,1217,63.5,15,Business-services,13,496.184
23136400,Business,First Financial Mana,Mr. Patrick H Thomas,Atlanta,GA,51,Georgia State U,BS,60,17,Georgia State U,MS,0,1,61,18,23,20,875000,5.41E+06,13423000,3.43E+06,40027700,0.812,1670,127.6,28,Business-services,13,875
828219,Business,Kelly Services,Mr. Terence E Adderley,Detroit,MI,60,U of Michigan,BBA,55,21,U of Michigan,MBA,1,1,56,22,36,27,540000,190000,98219,,3341770,5.418,1955,44.6,4,Business-services,13,540
8110850,Business,Automatic Data Proce,Mr. Josh S Weston,Brooklyn,NY,65,CUNY City,BS,50,21,U of New Zealan,MA,0,1,52,23,24,11,1005000,,436600,6.67E+06,19719900,0.161,2339,310.8,24,Business-services,13,1005
2748420,Business,Computer Sciences,Mr. William R Hoover,Bingham Canyon,UT,64,U of Utah,BS,53,23,U of Utah,MS,0,1,54,24,30,22,580962,440000,592679,1.13E+06,8105350,1.059,2502,84.2,18,Business-services,13,580.962
1901450,Business,Ogden,Mr. R RichardAblon,New York,NY,44,Boston U,BA,71,21,,none,0,0,,,23,4,700000,875000,272316,54138,9668500,0.502,2039,62.1,2,Business-services,13,700
1008510,Business,HR Block,Mr. Thomas M Bloch,Kansas City,MO,40,Claremont McKen,BA,76,22,,none,0,0,,,18,2,366667,254287,27797,359754,,0.332,1278,189.4,29,Business-services,13,366.667
1189440,Business,PHH,Mr. Robert D Kunisch,Norwalk,CT,52,NYU,BBA,63,21,,none,0,0,,,28,6,620000,490003,6690,72750,4409480,0.289,2116,63,5,Business-services,13,620
6124100,Business,Olsten,Mr. Frank N Liguori,New York,NY,47,St Francis C NY,BBA,69,22,,none,0,0,,,23,4,621154,500000,5002950,,9623310,1.613,2158,-11.9,24,Business-services,13,621.154
2105840,Business,Interpublic Group of,Mr. Philip H Geier Jr,Pontiac,MI,59,Colgate U,BA,57,22,Columbia,MBA,1,1,58,23,19,14,965000,350000,790840,,29805100,0.713,1740,125.3,20,Business-services,13,965
2795510,Business,Omnicom Group,Mr. BruceCrawford,West Bridgewate,MA,65,U of Pennsylvan,BS,52,23,,none,0,0,,,5,5,875000,565000,521138,834375,8024780,0.307,1516,85.3,23,Business-services,13,875
1145140,Business,WW Grainger,Mr. David W Grainger,Chicago,IL,66,U of Wisc Madis,BSE,50,22,,none,0,0,,,42,20,607000,389000,149136,,5537630,10.233,2628,149.3,20,Business-services,13,607
341057,Business,FlightSafety Interna,Mr. Albert L Ueltschi,Frankfort,KY,77,,,,,,none,0,0,,,43,43,220000,118800,2257,,1662740,35.904,297,66.4,4,Business-services,13,220
1264220,Business,Manpower,Mr. Mitchell S Fromstein,Milwaukee,WI,66,,,,,,none,0,0,,,18,18,860000,400463,3758,,5954810,0.324,3180,-48.9,10,Business-services,13,860
1044280,Business,Alco Standard,Mr. John E Stuart,Berkeley,CA,50,Pace U NY,BS,80,36,Pace U NY,MBA,1,1,80,36,9,1,393750,350000,100533,200000,,0.046,6916,6,17,Business-supplies,13,393.75
2229870,Business,Xerox,Mr. Paul A Allaire,Worcester,MA,55,Worcester Polyt,BSE,60,21,Carnegie-Mellon,MSIA,0,1,66,27,28,4,763330,500000,88551,877984,7556470,0.034,17334,-126,15,Business-supplies,13,763.33
1935170,Business,Avery Dennison,Mr. Charles D Miller,Hartford,CT,66,Johns Hopkins U,BA,49,21,,none,0,0,,,30,16,683333,555000,195939,500901,10303300,0.29,2609,83.3,7,Business-supplies,13,683.333
1628410,Business,Minnesota MiningMa,Mr. Livio D DeSimone,Canada,,57,McGill,BSC,57,20,,none,0,0,,,37,3,759600,248130,605395,15288,5257390,0.023,14020,1263,12,Business-supplies,13,759.6
945695,Business,Comdisco,Mr. Kenneth N Pontikes,Chicago,IL,54,Southern Illino,BA,63,23,,none,0,0,,,25,25,500000,440605,5090,,6589710,24.231,2118,70,-1,Business-supplies,13,500
2859300,Business,Pitney Bowes,Mr. George B Harvey,New Haven,CT,63,U of Pennsylvan,BS,54,23,,none,0,0,,,37,11,676667,585000,1100010,497620,10811500,0.199,3543,353.2,16,Business-supplies,13,676.667
1232430,Business,Deluxe,Mr. Harold V Haverty,Detroit,MI,64,,,,,,none,0,0,,,40,8,802500,16452,131683,281794,4966940,0.07,1582,141.9,6,Business-supplies,13,802.5
8410030,Business,Sensormatic Electron,Mr. Ronald G Assaf,Akron,OH,58,,,,,,none,0,0,,,28,23,415484,370000,51046,7.57E+06,11983900,0.512,549,63.2,38,Business-supplies,13,415.484
1407080,Capital goods,Westinghouse Electri,Mr. Michael H Jordan,Kansas City,MO,57,Yale,BSC,57,20,Princeton,MSCE,0,1,59,22,1,1,1000000,400000,7075,,,0.001,8875,-270,-11,Capital goods-electrical equipment,14,1000
831340,Capital goods,Hubbell,Mr. G J Ratcliffe,Charleston,WV,58,Duke U,AB,58,22,U of Virginia,JD,0,1,61,25,20,6,442900,340000,48440,,6464150,0.361,832,66.3,19,Capital goods-electrical equipment,14,442.9
9093260,Capital goods,Emerson Electric,Mr. Charles F Knight,Lake Forest,IL,58,Cornell,BME,58,22,Cornell,MBA,1,1,59,23,21,21,800000,1.10E+06,6196990,996275,19707900,0.27,8200,838.7,18,Capital goods-electrical equipment,14,800
619372,Capital goods,National Service Ind,Mr. D RaymondRiddle,Oglethorpe,GA,60,Georgia Tech,BS,55,21,,none,0,0,,,1,1,500000,100000,19372,,,0.01,1843,77.3,5,Capital goods-electrical equipment,14,500
1374690,Capital goods,Honeywell,Mr. Michael R Bonsignore,Plattsburg,NY,53,US Naval Acad,BSE,63,22,,none,0,0,,,25,1,552711,359657,462321,,,0.113,5963,322.2,19,Capital goods-electrical equipment,14,552.711
530000,Capital goods,Premier Industrial,Mr. Morton L Mandel,Cleveland,OH,72,,,,,,none,0,0,,,54,24,520000,,10000,,2408000,19.384,713,91.3,15,Capital goods-electrical equipment,14,520
2010110,Capital goods,DeereCo,Mr. Hans W Becherer,Detroit,MI,59,Trinity College,BA,57,22,Harvard,MBA,1,1,62,27,32,5,733805,183092,192713,900501,5804030,0.04,8057,308.3,14,Capital goods-heavy equipment,14,733.805
1518830,Capital goods,Tenneco,Mr. Dana G Mead,Cresco,IA,58,US Military Aca,BS,57,21,MIT,PhD,0,1,67,31,2,1,664839,700000,153986,,,0.038,13255,451,6,Capital goods-heavy equipment,14,664.839
1634570,Capital goods,Caterpillar,Mr. Donald V Fites,Tippecanoe,IN,60,Valparaiso U,BS,56,22,MIT,MS,0,1,71,37,38,4,670000,339024,32160,593382,3415780,0.023,11615,681,16,Capital goods-heavy equipment,14,670
1090460,Capital goods,Ingersoll-Rand,Mr. James E Perrella,Gloversville,NY,58,Purdue U,MSI,61,25,,none,0,0,,,32,1,433333,420000,237129,,,0.076,4021,163.5,18,Capital goods-heavy equipment,14,433.333
2187170,Capital goods,Illinois Tool Works,Mr. John D Nichols,China,,63,Harvard,BA,53,22,Harvard,MBA,1,1,55,24,14,12,600000,567600,1019570,,16253000,0.367,3159,206.6,21,Capital goods-other industrial equipment,14,600
2251800,Capital goods,Dover,Mr. Gary L Roubos,Denver,CO,57,U of Colorado,BS,59,22,Harvard,MBA,1,1,63,26,24,13,610000,300000,324979,1.02E+06,7290870,0.159,2484,158.3,20,Capital goods-other industrial equipment,14,610
2626950,Capital goods,Cooper Industries,Mr. RobertCizik,Scranton,PA,63,U of Connecticu,BA,53,22,Harvard,MBA,1,1,58,27,33,19,835000,400000,1391950,,13981100,0.222,6274,367.1,9,Capital goods-other industrial equipment,14,835
915185,Capital goods,Stanley Works,Mr. Richard H Ayers,Newton,MA,51,MIT,BS,65,22,MIT,MS,0,1,65,22,22,7,460000,229690,225495,,4850340,0.114,2273,92.6,8,Capital goods-other industrial equipment,14,460
925492,Capital goods,EGG,Mr. John M Kucharski,Milwaukee,WI,58,Marquette U,BS,58,22,George Washingt,JD,0,1,65,29,22,7,540020,,36250,349222,3899810,0.102,2698,79.6,4,Capital goods-other industrial equipment,14,540.02
737980,Capital goods,BriggsStratton,Mr. Frederick P Stratton,Milwaukee,WI,55,Yale,BS,61,22,Stanford U,MBA,1,1,63,24,21,17,476736,254577,6667,,2592670,2.683,1190,84,31,Capital goods-other industrial equipment,14,476.736
2427560,Capital goods,Tyco International,Mr. L DennisKozlowski,Irvington,NJ,47,Seton Hall C,BA,68,21,,none,0,0,,,19,2,920000,,1507560,,,0.589,3133,79.2,8,Capital goods-other industrial equipment,14,920
2051540,Capital goods,York International,Mr. Robert N Pokelwaldt,North Tonawanda,NY,57,SUNY Buffalo,BS,60,23,,none,0,0,,,11,3,435000,202356,4698,1.41E+06,8392090,0.499,2032,75.5,15,Capital goods-other industrial equipment,14,435
579034,Capital goods,Parker Hannifin,Mr. Duane E Collins,Holcombe,WI,58,U of Wisc Madis,BSM,61,25,,none,0,0,,,33,1,430000,134349,14685,,,0.066,2492,64.5,8,Capital goods-other industrial equipment,14,430
1799560,Chemicals,Hercules,Mr. Thomas L Gossage,Nashville,TN,60,Georgia Tech,BS,56,22,Georgia Tech,MS,0,1,57,23,6,3,725834,924000,149725,,4897470,0.596,2773,208.4,25,Chemicals-diversified,15,725.834
3202030,Chemicals,FMC,Mr. Robert N Burt,Lakewood,OH,57,Princeton,BS,59,22,Harvard,MBA,1,1,64,27,21,3,562500,313875,44121,2.28E+06,5644160,0.207,3754,41,7,Chemicals-diversified,15,562.5
1159420,Chemicals,RohmHaas,Mr. J LawrenceWilson,Rosedale,MS,58,Vanderbilt U,BE,58,22,Harvard,MBA,1,1,63,27,29,6,552500,86071,520851,,5201180,0.089,3269,126,14,Chemicals-diversified,15,552.5
1702120,Chemicals,Dow Chemical,Mr. Frank P Popoff,Bulgaria,,58,Indiana U,BS,57,21,Indiana U,MBA,1,1,59,23,35,6,890004,593750,218365,,7727900,0.029,18060,644,4,Chemicals-diversified,15,890.004
911699,Chemicals,PPG Industries,Mr. Jerry E Dempsey,Landrum,SC,61,Clemson U,BSM,54,21,Georgia State U,MBA,1,1,68,35,1,1,250000,312000,349699,,,0.005,5754,295,15,Chemicals-diversified,15,250
3049780,Chemicals,Union Carbide,Mr. Robert D Kennedy,Pittsburgh,PA,61,Cornell,BSM,55,22,,none,0,0,,,39,8,815000,590000,107829,1.54E+06,9543830,0.148,4640,165,14,Chemicals-diversified,15,815
816573,Chemicals,Olin,Mr. John W Johnstone Jr,Brooklyn,NY,61,Hartwick C,BA,54,21,,none,0,0,,,15,7,600000,140000,76573,,4717150,0.23,2423,-92,3,Chemicals-diversified,15,600
2684250,Chemicals,EI du Pont de Nemour,Mr. Edgar S Woolard Jr,Washington,NC,60,NC State U,BS,56,22,,none,0,0,,,36,5,792000,450000,7005,1.44E+06,11100300,0.069,32621,566,13,Chemicals-diversified,15,792
6680930,Chemicals,Monsanto,Mr. Richard J Mahoney,Springfield,MA,60,U of Massachuse,BS,55,21,,none,0,0,,,32,11,900000,1.19E+06,1358380,3.23E+06,14389900,0.124,7902,494,14,Chemicals-diversified,15,900
1662400,Chemicals,BF Goodrich,Mr. John D Ong,Uhrichsville,OH,60,Ohio State U,BA,54,20,Harvard,LLB,0,1,57,23,33,15,737000,643500,187464,94438,7510580,0.425,1818,128.3,1,Chemicals-specialized,15,737
1205060,Chemicals,Air ProductsChemic,Mr. Harold A Wagner,Oakland,CA,58,Stanford U,BSM,58,22,Harvard,MBA,1,1,63,27,31,2,569231,256000,91992,287838,2563680,0.041,3342,207,19,Chemicals-specialized,15,569.231
865984,Chemicals,Eastman Chemical,Mr. Earnest W Deavenport,Macon,MS,56,Mississippi Sta,BS,60,22,MIT,MS,0,1,85,47,34,1,500000,276028,50118,39838,,0.001,3903,247,,Chemicals-specialized,15,500
3351880,Chemicals,International Flavor,Mr. Eugene P Grisanti,Buffalo,NY,64,Boston U,LLB,53,23,Harvard,LLM,0,1,54,24,34,9,700000,350000,2301880,,11978400,1.395,1189,202.5,20,Chemicals-specialized,15,700
992927,Chemicals,Praxair,Mr. H WilliamLichtenber,Yugoslavia,,59,U of Iowa,BA,57,22,SUNY Buffalo,MBA,1,1,62,27,35,2,546700,350000,96227,,,0.13,2438,143,6,Chemicals-specialized,15,546.7
3059790,Chemicals,Lubrizol,Dr. Lester E Coleman,Akron,OH,63,U of Akron,BS,52,21,U of Illinois,PhD,0,1,55,24,39,16,652713,253310,83745,2.07E+06,8391160,0.352,1526,85,17,Chemicals-specialized,15,652.713
2113310,Chemicals,Lyondell Petrochemic,Dr. Bob G Gower,West Frankfort,IL,56,Southern Illino,BA,58,20,U of Minnesota,PhD,0,1,63,25,31,6,555099,460000,1098210,,7135840,0.069,3850,4,5,Chemicals-specialized,15,555.099
833152,Chemicals,Nalco Chemical,Mr. Edward J Mooney,Omar,WV,53,U of Texas Aust,BS,64,23,U of Texas Aust,JD,0,1,67,26,25,1,390000,176982,266170,,,0.057,1389,152.7,16,Chemicals-specialized,15,390
1359730,Chemicals,Sigma-Aldrich,Mr. Carl T Cori,St Louis,MO,57,U of Wisc Madis,BS,59,22,Washington U,PhD,0,1,69,32,24,11,600000,299721,460008,,6364670,0.259,739,107.2,18,Chemicals-specialized,15,600
903494,Chemicals,Morton International,Mr. S. JayStewart,Pineville,WV,55,U of Cincinnati,BS,61,22,West Virginia U,MBA,1,1,66,27,21,1,455000,434844,13650,,,0.033,2537,154.4,23,Chemicals-specialized,15,455
3151000,Chemicals,Sherwin-Williams,Mr. John G Breen,Cleveland,OH,59,John Carroll U,BS,56,21,Case Western,MBA,1,1,61,26,15,15,722800,560000,1392900,475295,10275900,0.583,2949,165.2,21,Chemicals-specialized,15,722.8
2793820,Chemicals,WR Grace,Mr. J P Bolduc,Lewiston,ME,54,St Cloud State,BA,61,21,,none,0,0,,,11,1,800000,986000,1007820,,,0.296,4408,26,11,Chemicals-specialized,15,800
1268280,Chemicals,Witco,Mr. William R Toller,Fort Smith,AR,63,U of Arkansas,BA,56,25,,none,0,0,,,10,4,545000,364100,14643,344538,3845020,0.085,2143,19.8,16,Chemicals-specialized,15,545
1452590,Chemicals,Great Lakes Chemical,Dr. EmersonKampen,Kalamazoo,MI,66,U of Michigan,BS,51,23,,none,0,0,,,43,17,865558,500000,2358,84675,13625300,0.951,1792,272.8,36,Chemicals-specialized,15,865.558
536794,Chemicals,IMC Fertilizer Group,Mr. Wendell F Bueche,Flushing,MI,63,U of Notre Dame,BSM,52,21,,none,0,0,,,1,1,500040,,36754,,,0.082,1074,-167.6,-1,Chemicals-specialized,15,500.04
1101570,Chemicals,Ethyl,Mr. Bruce C Gottwald,Richmond,VA,60,VMI,BS,54,20,,none,0,0,,,38,2,770000,265000,38500,28066,3116090,7.313,1938,90,8,Chemicals-specialized,15,770
607289,ComputersComm,Raychem,Mr. Robert J Saldich,New York,NY,60,Rice U,BS,56,22,Harvard,MBA,1,1,61,27,30,4,497289,110000,,,2858160,0.045,1394,9,4,Computerscommunications-major systems,16,497.289
7709730,ComputersComm,International Busine,Mr. Louis V Gerstner Jr,Mineola,NY,52,Dartmouth,BA,63,21,Harvard,MBA,1,1,65,23,1,1,1500000,1.13E+06,5084730,,,0.005,62716,-7987,-9,Computerscommunications-major systems,16,1500
2500000,ComputersComm,Compaq Computer,Mr. EckhardPfeiffer,Germany,,52,Nuremberg Busin,BA,63,21,SMU,MBA,1,1,83,41,11,3,1000000,1.50E+06,,,9649150,0.001,7191,462.2,22,Computerscommunications-major systems,16,1000
2113750,ComputersComm,Sun Microsystems,Mr. Scott G McNealy,Columbus,IN,39,Harvard,BA,76,21,Stanford U,MBA,1,1,80,25,12,10,400000,251304,1200,1.46E+06,6905570,1.836,4493,188.2,11,Computerscommunications-major systems,16,400
3960920,ComputersComm,Silicon Graphics,Mr. Edward R McCracken,Fairfield,IA,50,Iowa State,BSE,66,22,Stanford U,MBA,1,1,68,24,10,10,636043,310000,,3.01E+06,10512200,0.389,1262,114.7,44,Computerscommunications-major systems,16,636.043
807792,ComputersComm,Tandem Computers,Mr. James G Treybig,Clarendon,TX,53,Rice U,BS,63,22,Stanford U,MBA,1,1,68,27,19,19,661810,136785,9197,,3788060,0.628,2023,-510.3,-4,Computerscommunications-major systems,16,661.81
747469,ComputersComm,Digital Equipment,Mr. Robert B Palmer,Gorman,TX,53,Texas Tech U,BS,62,21,Texas Tech U,MS,0,1,65,24,9,2,738469,,9000,,,0.009,13637,-92.3,-21,Computerscommunications-major systems,16,738.469
1849040,ComputersComm,Unisys,Mr. James A Unruh,Goodrich,ND,53,Jamestown C,BSB,63,22,U of Denver,MBA,1,1,64,23,14,4,772500,800000,42160,234375,5693460,0.032,7743,361.6,-9,Computerscommunications-major systems,16,772.5
2701230,ComputersComm,Hewlett-Packard,Mr. Lewis E Platt,JohnsonCity,NY,53,Cornell,BSM,64,23,U of Pennsylvan,MBA,1,1,66,25,28,2,818750,53988,1365970,462527,,0.015,21426,1284,11,Computerscommunications-major systems,16,818.75
2258840,ComputersComm,Harris Corp,Mr. John T Hartley,Jacksonville,FL,64,Auburn U,BS,55,25,,none,0,0,,,38,8,567500,560780,423795,706768,7321290,0.315,3179,119.6,15,Computerscommunications-major systems,16,567.5
5805380,ComputersComm,Itel,Mr. Rod F Dammeyer,Cleveland,OH,53,Kent State U,BA,60,19,,none,0,0,,,9,1,685750,675000,99324,4.35E+06,,0.147,1909,14.8,4,Computerscommunications-major systems,16,685.75
2039660,ComputersComm,AST Research,Mr. Safi U Qureshey,Pakistan,,42,U of Texas Aust,BSE,75,23,,none,0,0,,,14,6,543700,514298,981665,,9899090,8.452,1971,-49.8,44,Computerscommunications-major systems,16,543.7
2157360,ComputersComm,Apple Computer,Mr. Michael H Spindler,Germany,,52,,,,,,none,0,0,,,14,1,696847,302240,,1.16E+06,,0.00001,8446,-34.7,,Computerscommunications-major systems,16,696.847
550983,ComputersComm,Dell Computer,Mr. Michael S Dell,Houston,TX,29,,,,,,none,0,0,,,10,10,337019,202364,11600,,2424350,32.568,2873,-35.8,40,Computerscommunications-major systems,16,337.019
545103,ComputersComm,Gateway 2000,Mr. TheodoreWaitt,Sioux City,IA,31,,,,,,none,0,0,,,9,9,537601,,7502,,1711200,46.096,1732,100.1,16,Computerscommunications-major systems,16,537.601
1432450,ComputersComm,General Instrument,Mr. Daniel F Akerson,Oakland,CA,45,US Naval Acad,BS,70,21,London Sch Econ,MS,0,1,78,29,1,1,800000,560000,72454,,,0.00001,1393,90.4,98,Computerscommunications-peripherals,16,800
8075920,ComputersComm,EMC,Mr. Michael C Ruettgers,Muskogee,OK,51,Idaho State,BBA,64,21,Harvard,MBA,1,1,67,24,6,2,225000,525000,2000,7.32E+06,,0.127,783,127.1,102,Computerscommunications-peripherals,16,225
2765700,ComputersComm,Texas Instruments,Mr. Jerry R Junkins,Fort Madison,IA,56,Iowa State,BS,59,21,SMU,MS,0,1,68,30,35,9,691850,740000,412048,921800,6003780,0.051,8523,476,16,Computerscommunications-peripherals,16,691.85
2878060,ComputersComm,Arrow Electronics,Mr. Stephen P Kaufman,Cambridge,MA,52,MIT,BS,63,21,Harvard,MBA,1,1,65,23,12,8,504000,635644,220447,1.52E+06,8435810,3.4,2536,81.6,45,Computerscommunications-peripherals,16,504
360304,ComputersComm,Cisco Systems,Mr. John P Morgridge,Elmhurst,IL,60,U of Wisc Madis,BBA,55,21,Stanford U,MBA,1,1,57,23,6,6,187212,172092,1000,,1168990,2.367,928,241,117,Computerscommunications-peripherals,16,187.212
1447620,ComputersComm,3Com,Mr. EricBenhamou,France,,38,,,,,Stanford U,MS,0,1,77,21,7,4,375000,22966,526528,523125,2198710,0.343,753,-42.6,17,Computerscommunications-peripherals,16,375
1983740,ComputersComm,Micron Technology,Mr. Joseph L Parkinson,San Antonio,TX,48,Columbia,BA,67,21,Tulane U,JD,0,1,71,25,14,8,331731,499178,5192,1.15E+06,6387330,0.084,1231,246.6,34,Computerscommunications-peripherals,16,331.731
2356200,ComputersComm,Intel,Dr. Andrew S Grove,Hungary,,57,CUNY City,BS,60,23,U of Cal Berkel,PhD,0,1,63,26,26,7,360000,1.82E+06,172500,,11387600,0.11,8782,2295.3,39,Computerscommunications-peripherals,16,360
936668,ComputersComm,Quantum,Mr. William J Miller,Fargo,ND,48,U of Minnesota,BS,67,21,U of Minnesota,JD,0,1,70,24,2,2,400058,536610,,,,0.33,2003,-9.6,35,Computerscommunications-peripherals,16,400.058
800144,ComputersComm,American Power Conve,Mr. Rodger B Dowdell Jr.,Providence,RI,45,Brown,BSE,71,22,U of Rhode Isla,MSEE,0,1,75,26,9,9,370000,400000,30144,,2810550,10.841,250,48.6,120,Computerscommunications-peripherals,16,370
12837900,ComputersComm,Applied Materials,Mr. James C Morgan,Danville,IL,55,Cornell,BS,62,23,Cornell,MBA,1,1,63,24,18,17,485000,388000,641069,1.13E+07,22301000,0.556,1205,122.4,50,Computerscommunications-peripherals,16,485
6398700,ComputersComm,Motorola,Mr. Gary L Tooker,Shelby,OH,54,Arizona State,BSE,62,22,,none,0,0,,,32,1,770000,847000,14100,4.77E+06,,0.028,16963,1022,39,Computerscommunications-peripherals,16,770
1923100,ComputersComm,National Semiconduct,Dr. Gilbert F Amelio,New York,NY,51,Georgia Tech,BS,65,22,Georgia Tech,PhD,0,1,68,25,3,3,569039,792000,562064,,4006840,0.008,2244,222.9,23,Computerscommunications-peripherals,16,569.039
