CAMPUS,EMPLOYEE ID, JOB FAMILY , JOB TITLE , DEPARTMENT ,JOB FULL TIME PCNT,STATE FUNDING,NON-STATE FUNDING,TOTAL FUNDING
ANSCHUTZ,252033,CLASSIFIED STAFF,PIPE/MECH TRADES I,ADM AVCFM OTHER FS CUP SC,100,0,43300,43300
ANSCHUTZ,115971,CLASSIFIED STAFF,PROJECT PLANNER I,ADM AVCFM OTHER FS CUP SC,100,0,70769,70769
ANSCHUTZ,126018,CLASSIFIED STAFF,PROJECT PLANNER II,ADM AVCFM OTHER FS CUP SC,41,0,35658,35658
ANSCHUTZ,108475,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,62498,62498
ANSCHUTZ,123513,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,55780,55780
ANSCHUTZ,123645,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,63399,63399
ANSCHUTZ,124450,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,63359,63359
ANSCHUTZ,149002,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,55270,55270
ANSCHUTZ,168823,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,52652,52652
ANSCHUTZ,176460,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,54045,54045
ANSCHUTZ,199848,CLASSIFIED STAFF,UTILITY PLANT OPERATOR I,ADM AVCFM OTHER FS CUP SC,100,0,50129,50129
ANSCHUTZ,123396,CLASSIFIED STAFF,UTILITY PLANT OPERATOR II,ADM AVCFM OTHER FS CUP SC,100,0,72543,72543
ANSCHUTZ,126219,CLASSIFIED STAFF,UTILITY PLANT OPERATOR II,ADM AVCFM OTHER FS CUP SC,100,0,72543,72543
ANSCHUTZ,108284,CLASSIFIED STAFF,ARTS PROFESSIONAL II,ADM AVCFM OTHER FS PRINTING SC,100,0,55672,55672
ANSCHUTZ,115936,CLASSIFIED STAFF,ARTS PROFESSIONAL II,ADM AVCFM OTHER FS PRINTING SC,100,0,50324,50324
ANSCHUTZ,262572,OFFICERS AND EXEMPT PROFESSIONALS ,FACILITIES PROFESSIONAL,ADM AVCFM OTHER FS PRINTING SC,100,0,44000,44000
ANSCHUTZ,120896,CLASSIFIED STAFF,GENERAL PROFESSIONAL II,ADM AVCFM OTHER FS PRINTING SC,100,0,47157,47157
ANSCHUTZ,114758,CLASSIFIED STAFF,GENERAL PROFESSIONAL IV,ADM AVCFM OTHER FS PRINTING SC,100,0,74481,74481
ANSCHUTZ,217672,CLASSIFIED STAFF,PRODUCTION II,ADM AVCFM OTHER FS PRINTING SC,100,0,30933,30933
ANSCHUTZ,259925,OFFICERS AND EXEMPT PROFESSIONALS ,PRODUCTION II,ADM AVCFM OTHER FS PRINTING SC,100,0,32240,32240
ANSCHUTZ,210209,CLASSIFIED STAFF,PRODUCTION III,ADM AVCFM OTHER FS PRINTING SC,100,0,36054,36054
ANSCHUTZ,118172,CLASSIFIED STAFF,PROGRAM ASSISTANT II,ADM AVCFM OTHER FS PRINTING SC,100,0,57111,57111
ANSCHUTZ,206675,OFFICERS AND EXEMPT PROFESSIONALS ,BUSINESS SERVICES MANAGER,ADM AVCFM PARKING,100,0,81669,81669
ANSCHUTZ,132422,CLASSIFIED STAFF,EQUIPMENT OPERATOR I,ADM AVCFM PARKING,100,0,28772,28772
ANSCHUTZ,198100,CLASSIFIED STAFF,EQUIPMENT OPERATOR I,ADM AVCFM PARKING,100,0,30231,30231
ANSCHUTZ,201214,CLASSIFIED STAFF,EQUIPMENT OPERATOR I,ADM AVCFM PARKING,100,0,30231,30231
ANSCHUTZ,111481,CLASSIFIED STAFF,GENERAL LABOR I,ADM AVCFM PARKING,100,14470,21705,36175
ANSCHUTZ,117231,CLASSIFIED STAFF,GENERAL LABOR I,ADM AVCFM PARKING,100,13568,20352,33920
ANSCHUTZ,233953,CLASSIFIED STAFF,GENERAL LABOR I,ADM AVCFM PARKING,100,11509,17263,28772
ANSCHUTZ,115970,CLASSIFIED STAFF,STRUCTURAL TRADES II,ADM AVCFM PARKING,100,19572,29357,48929
ANSCHUTZ,255404,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT DIRECTOR,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,106731,106731
ANSCHUTZ,228112,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT PRINCIPAL PRO,ADM EVC-DEVELOPMENT (ANSCHUTZ),75,0,103331,103331
ANSCHUTZ,249645,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT PRINCIPAL PRO,ADM EVC-DEVELOPMENT (ANSCHUTZ),62.5,0,64612,64612
ANSCHUTZ,255457,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT PRINCIPAL PRO,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,171392,171392
ANSCHUTZ,210959,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT PROFESSIONAL,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,65611,65611
ANSCHUTZ,219675,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT PROFESSIONAL,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,48946,48946
ANSCHUTZ,255439,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT PROFESSIONAL,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,56650,56650
ANSCHUTZ,255416,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,85260,85260
ANSCHUTZ,255421,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,83147,83147
ANSCHUTZ,255425,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,90913,90913
ANSCHUTZ,255429,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,83636,83636
ANSCHUTZ,255455,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,88322,88322
ANSCHUTZ,255468,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),75,0,72332,72332
ANSCHUTZ,255472,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,83636,83636
ANSCHUTZ,255503,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,91266,91266
ANSCHUTZ,259851,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,92700,92700
ANSCHUTZ,260730,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,82400,82400
ANSCHUTZ,262368,OFFICERS AND EXEMPT PROFESSIONALS ,DEVELOPMENT SENIOR PROF,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,70040,70040
ANSCHUTZ,187500,OFFICERS AND EXEMPT PROFESSIONALS ,EXECUTIVE ASSISTANT,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,59077,59077
ANSCHUTZ,258462,OFFICERS AND EXEMPT PROFESSIONALS ,EXECUTIVE ASSISTANT,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,42000,42000
ANSCHUTZ,257697,OFFICERS AND EXEMPT PROFESSIONALS ,EXECUTIVE DIRECTOR,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,154500,154500
ANSCHUTZ,255435,OFFICERS AND EXEMPT PROFESSIONALS ,EXTERNAL RELATIONS DIRECTOR,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,100000,100000
ANSCHUTZ,199627,OFFICERS AND EXEMPT PROFESSIONALS ,EXTERNAL RELATIONS PROGRAM MGR,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,45608,45608
ANSCHUTZ,255507,OFFICERS AND EXEMPT PROFESSIONALS ,EXTERNAL RELATIONS PROGRAM MGR,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,46499,46499
ANSCHUTZ,198960,OFFICERS AND EXEMPT PROFESSIONALS ,PROFESSIONAL ASSISTANT,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,43000,43000
ANSCHUTZ,255446,OFFICERS AND EXEMPT PROFESSIONALS ,PROFESSIONAL ASSISTANT,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,39785,39785
ANSCHUTZ,255492,OFFICERS AND EXEMPT PROFESSIONALS ,PROFESSIONAL ASSISTANT,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,45604,45604
ANSCHUTZ,255496,OFFICERS AND EXEMPT PROFESSIONALS ,PROFESSIONAL ASSISTANT,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,47709,47709
ANSCHUTZ,255510,OFFICERS AND EXEMPT PROFESSIONALS ,PROFESSIONAL ASSISTANT,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,38709,38709
ANSCHUTZ,266374,OFFICERS AND EXEMPT PROFESSIONALS ,VICE CHANCELLOR,ADM EVC-DEVELOPMENT (ANSCHUTZ),100,0,220000,220000
ANSCHUTZ,264203,OFFICERS AND EXEMPT PROFESSIONALS ,BUSINESS SERVICES SENIOR PROF,ADM VCHA SELF RISK,100,0,70000,70000
ANSCHUTZ,121940,CLASSIFIED STAFF,GENERAL PROFESSIONAL IV,ADM VCHA SELF RISK,75,0,55417,55417
ANSCHUTZ,217718,OFFICERS AND EXEMPT PROFESSIONALS ,HEALTH CARE ASST DIR,ADM VCHA SELF RISK,100,0,105000,105000
ANSCHUTZ,125561,OFFICERS AND EXEMPT PROFESSIONALS ,HEALTH CARE PROGRAM MGR,ADM VCHA SELF RISK,100,0,99042,99042
ANSCHUTZ,173781,OFFICERS AND EXEMPT PROFESSIONALS ,HEALTH CARE PROGRAM MGR,ADM VCHA SELF RISK,80,0,76539,76539
ANSCHUTZ,245522,OFFICERS AND EXEMPT PROFESSIONALS ,HEALTH CARE PROGRAM MGR,ADM VCHA SELF RISK,100,0,84459,84459
ANSCHUTZ,259677,OFFICERS AND EXEMPT PROFESSIONALS ,HEALTH CARE PROGRAM MGR,ADM VCHA SELF RISK,100,0,86520,86520
ANSCHUTZ,181573,OFFICERS AND EXEMPT PROFESSIONALS ,HEALTH CARE SENIOR PROF,ADM VCHA SELF RISK,37.5,0,16508,16508
ANSCHUTZ,253113,OFFICERS AND EXEMPT PROFESSIONALS ,LEGAL SUPPORT PROFESSIONAL,ADM VCHA SELF RISK,100,0,56650,56650
ANSCHUTZ,228909,CLASSIFIED STAFF,PROGRAM ASSISTANT II,ADM VCHA SELF RISK,100,0,48415,48415
ANSCHUTZ,259369,OFFICERS AND EXEMPT PROFESSIONALS ,PROGRAM ASSISTANT II,ADM VCHA SELF RISK,100,0,42230,42230
ANSCHUTZ,121223,CLASSIFIED STAFF,ADMIN ASSISTANT II,ADM VCHA-AHEC GENERAL OPERATIO,100,36724,0,36724
ANSCHUTZ,233898,OFFICERS AND EXEMPT PROFESSIONALS ,ADMIN ASSISTANT III,ADM VCHA-AHEC GENERAL OPERATIO,100,0,39629,39629
ANSCHUTZ,117655,RESEARCH FACULTY,ASST PROFESSOR-RESEARCH,ADM VCHA-AHEC GENERAL OPERATIO,100,0,89488,89488
ANSCHUTZ,100454,OFFICERS AND EXEMPT PROFESSIONALS ,BUSINESS SERVICES PROGRAM MGR,ADM VCHA-AHEC GENERAL OPERATIO,100,76248,0,76248
ANSCHUTZ,163572,RESEARCH FACULTY,PROFESSIONAL RESEARCH ASST,ADM VCHA-AHEC GENERAL OPERATIO,60,0,19391,19391
ANSCHUTZ,219861,OFFICERS AND EXEMPT PROFESSIONALS ,PROGRAM ASSISTANT I,ADM VCHA-AHEC GENERAL OPERATIO,100,0,47380,47380
ANSCHUTZ,261505,OFFICERS AND EXEMPT PROFESSIONALS ,ADMIN ASSISTANT III,ADM VCHA-BIOMED INFOCTR GENOPS,100,0,40000,40000
ANSCHUTZ,214588,OFFICERS AND EXEMPT PROFESSIONALS ,BUSINESS SERVICES ASSOC DIR,ADM VCHA-BIOMED INFOCTR GENOPS,100,0,125879,125879
ANSCHUTZ,185335,OFFICERS AND EXEMPT PROFESSIONALS ,BUSINESS SERVICES PRGM DIR,ADM VCHA-BIOMED INFOCTR GENOPS,100,33683,101050,134734
ANSCHUTZ,268795,OFFICERS AND EXEMPT PROFESSIONALS ,IT PRGM MGR,ADM VCHA-BIOMED INFOCTR GENOPS,100,0,100000,100000
ANSCHUTZ,235036,OFFICERS AND EXEMPT PROFESSIONALS ,ACADEMIC SERVICES PROFESSIONAL,ADM VCHA-HLTHCARE ETHICS-ADMIN,100,56867,0,56867
ANSCHUTZ,134093,OFFICERS AND EXEMPT PROFESSIONALS ,ACADEMIC SERVICES SENIOR PROF,ADM VCHA-HLTHCARE ETHICS-ADMIN,100,53615,25230,78845
ANSCHUTZ,113605,CLASSIFIED STAFF,PROGRAM ASSISTANT I,ADM VCHA-HLTHCARE ETHICS-ADMIN,100,54900,0,54900
ANSCHUTZ,220433,OFFICERS AND EXEMPT PROFESSIONALS ,ADMIN ASSISTANT III,ADM VCHA-INTERPROFSNL ED-ADMIN,60,30110,0,30110
ANSCHUTZ,234128,OFFICERS AND EXEMPT PROFESSIONALS ,PROGRAM ASSISTANT I,ADM VCHA-INTERPROFSNL ED-ADMIN,100,51813,0,51813
ANSCHUTZ,142268,OFFICERS AND EXEMPT PROFESSIONALS ,ADMIN ASSISTANT II,ADM VCR OLAR CLAC ANI CARE SC,100,0,33100,33100
ANSCHUTZ,198501,CLASSIFIED STAFF,ADMIN ASSISTANT III,ADM VCR OLAR CLAC ANI CARE SC,100,0,40809,40809
ANSCHUTZ,254545,OFFICERS AND EXEMPT PROFESSIONALS ,ADMIN ASSISTANT III,ADM VCR OLAR CLAC ANI CARE SC,100,0,42500,42500
ANSCHUTZ,257318,OFFICERS AND EXEMPT PROFESSIONALS ,ADMIN ASSISTANT III,ADM VCR OLAR CLAC ANI CARE SC,100,0,41200,41200
ANSCHUTZ,181138,CLASSIFIED STAFF,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,31556,31556
ANSCHUTZ,182159,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30100,30100
ANSCHUTZ,215807,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30000,30000
ANSCHUTZ,238102,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30262,30262
ANSCHUTZ,243540,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,29100,29100
ANSCHUTZ,247780,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,31012,31012
ANSCHUTZ,254348,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30074,30074
ANSCHUTZ,255294,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30100,30100
ANSCHUTZ,259593,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30100,30100
ANSCHUTZ,260467,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30100,30100
ANSCHUTZ,261337,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30100,30100
ANSCHUTZ,266385,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30000,30000
ANSCHUTZ,266936,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30000,30000
ANSCHUTZ,268316,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE I,ADM VCR OLAR CLAC ANI CARE SC,100,0,30000,30000
ANSCHUTZ,119164,CLASSIFIED STAFF,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,37628,37628
ANSCHUTZ,150732,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,42443,42443
ANSCHUTZ,157882,CLASSIFIED STAFF,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,43512,43512
ANSCHUTZ,217201,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,40000,40000
ANSCHUTZ,237767,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,28843,28843
ANSCHUTZ,238960,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,49000,49000
ANSCHUTZ,242940,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,35188,35188
ANSCHUTZ,261402,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,34750,34750
ANSCHUTZ,266928,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE II,ADM VCR OLAR CLAC ANI CARE SC,100,0,34750,34750
ANSCHUTZ,242747,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE III,ADM VCR OLAR CLAC ANI CARE SC,100,0,48000,48000
ANSCHUTZ,248379,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE III,ADM VCR OLAR CLAC ANI CARE SC,100,0,48000,48000
ANSCHUTZ,250157,OFFICERS AND EXEMPT PROFESSIONALS ,ANIMAL CARE III,ADM VCR OLAR CLAC ANI CARE SC,100,0,49000,49000
ANSCHUTZ,238672,REGULAR FACULTY,ASST PROFESSOR,ADM VCR OLAR CLAC ANI CARE SC,100,26780,107120,133900
ANSCHUTZ,201363,CLASSIFIED STAFF,GENERAL LABOR I,ADM VCR OLAR CLAC ANI CARE SC,100,0,29056,29056
ANSCHUTZ,259861,OFFICERS AND EXEMPT PROFESSIONALS ,GENERAL LABOR I,ADM VCR OLAR CLAC ANI CARE SC,100,0,27900,27900
ANSCHUTZ,211385,OFFICERS AND EXEMPT PROFESSIONALS ,IT PROFESSIONAL,ADM VCR OLAR CLAC ANI CARE SC,100,1875,52300,54175
ANSCHUTZ,192048,CLASSIFIED STAFF,LABORATORY SUPPORT I,ADM VCR OLAR CLAC ANI CARE SC,100,0,29899,29899
ANSCHUTZ,209528,CLASSIFIED STAFF,LABORATORY SUPPORT I,ADM VCR OLAR CLAC ANI CARE SC,100,0,29899,29899
ANSCHUTZ,219165,CLASSIFIED STAFF,LABORATORY SUPPORT I,ADM VCR OLAR CLAC ANI CARE SC,100,0,29899,29899
ANSCHUTZ,244629,OFFICERS AND EXEMPT PROFESSIONALS ,LABORATORY SUPPORT I,ADM VCR OLAR CLAC ANI CARE SC,100,0,28027,28027
ANSCHUTZ,248302,OFFICERS AND EXEMPT PROFESSIONALS ,LABORATORY SUPPORT I,ADM VCR OLAR CLAC ANI CARE SC,100,0,28027,28027
ANSCHUTZ,251377,OFFICERS AND EXEMPT PROFESSIONALS ,LABORATORY SUPPORT I,ADM VCR OLAR CLAC ANI CARE SC,100,0,27900,27900
ANSCHUTZ,211916,OFFICERS AND EXEMPT PROFESSIONALS ,LABORATORY SUPPORT II,ADM VCR OLAR CLAC ANI CARE SC,100,0,33850,33850
ANSCHUTZ,163311,OFFICERS AND EXEMPT PROFESSIONALS ,LABORATORY SUPPORT III,ADM VCR OLAR CLAC ANI CARE SC,100,0,49000,49000
ANSCHUTZ,156375,CLASSIFIED STAFF,MATERIALS HANDLER II,ADM VCR OLAR CLAC ANI CARE SC,100,0,37013,37013
ANSCHUTZ,198394,CLASSIFIED STAFF,MATERIALS HANDLER II,ADM VCR OLAR CLAC ANI CARE SC,100,0,33771,33771
ANSCHUTZ,114041,RESEARCH FACULTY,PROFESSIONAL RESEARCH ASST,ADM VCR OLAR CLAC ANI CARE SC,100,0,53200,53200
ANSCHUTZ,118200,RESEARCH FACULTY,PROFESSIONAL RESEARCH ASST,ADM VCR OLAR CLAC ANI CARE SC,100,0,85500,85500
ANSCHUTZ,118377,RESEARCH FACULTY,PROFESSIONAL RESEARCH ASST,ADM VCR OLAR CLAC ANI CARE SC,100,0,32500,32500
ANSCHUTZ,119381,RESEARCH FACULTY,PROFESSIONAL RESEARCH ASST,ADM VCR OLAR CLAC ANI CARE SC,100,0,56900,56900
ANSCHUTZ,146203,OFFICERS AND EXEMPT PROFESSIONALS ,RESEARCH SERVICES ASSOC DIR,ADM VCR OLAR CLAC ANI CARE SC,100,0,89224,89224
ANSCHUTZ,114525,OFFICERS AND EXEMPT PROFESSIONALS ,RESEARCH SERVICES MANAGER,ADM VCR OLAR CLAC ANI CARE SC,100,0,70000,70000
ANSCHUTZ,146481,OFFICERS AND EXEMPT PROFESSIONALS ,RESEARCH SERVICES MANAGER,ADM VCR OLAR CLAC ANI CARE SC,100,0,65500,65500
ANSCHUTZ,177885,OFFICERS AND EXEMPT PROFESSIONALS ,TECHNICIAN IV,ADM VCR OLAR CLAC ANI CARE SC,100,0,48100,48100
ANSCHUTZ,225784,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY I,ADM VCR OLAR CLAC ANI CARE SC,100,0,34446,34446
ANSCHUTZ,239371,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY I,ADM VCR OLAR CLAC ANI CARE SC,100,0,35825,35825
ANSCHUTZ,251160,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY I,ADM VCR OLAR CLAC ANI CARE SC,100,0,34100,34100
ANSCHUTZ,252980,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY I,ADM VCR OLAR CLAC ANI CARE SC,100,0,34100,34100
ANSCHUTZ,267835,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY I,ADM VCR OLAR CLAC ANI CARE SC,100,0,34000,34000
ANSCHUTZ,203275,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY II,ADM VCR OLAR CLAC ANI CARE SC,100,0,42000,42000
ANSCHUTZ,210641,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY II,ADM VCR OLAR CLAC ANI CARE SC,100,0,39000,39000
ANSCHUTZ,226549,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY II,ADM VCR OLAR CLAC ANI CARE SC,100,0,38000,38000
ANSCHUTZ,236139,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY II,ADM VCR OLAR CLAC ANI CARE SC,100,0,37500,37500
ANSCHUTZ,126728,OFFICERS AND EXEMPT PROFESSIONALS ,VETERINARY TECHNOLOGY IV,ADM VCR OLAR CLAC ANI CARE SC,100,0,49000,49000
ANSCHUTZ,123071,CLASSIFIED STAFF,ADMIN ASSISTANT II,ADM-CAMP CLEARING UCH PAYROLL,100,0,41381,41381
ANSCHUTZ,125971,CLASSIFIED STAFF,ADMIN ASSISTANT III,ADM-CAMP CLEARING UCH PAYROLL,100,0,42551,42551
ANSCHUTZ,117575,CLASSIFIED STAFF,CLIENT CARE AIDE II,ADM-CAMP CLEARING UCH PAYROLL,5,0,1693,1693
ANSCHUTZ,121243,CLASSIFIED STAFF,CLIENT CARE AIDE II,ADM-CAMP CLEARING UCH PAYROLL,100,0,34095,34095
ANSCHUTZ,123811,CLASSIFIED STAFF,CUSTODIAN I,ADM-CAMP CLEARING UCH PAYROLL,100,0,29910,29910
ANSCHUTZ,129295,CLASSIFIED STAFF,CUSTODIAN I,ADM-CAMP CLEARING UCH PAYROLL,100,0,29910,29910
